,Lat/Long,MaxEirp,Lat,Long,geometry
61,"-96.768902,32.710706",36.0,32.710706,-96.768902,POINT (762277.3981028481 2117110.564620512)
62,"-96.768945,32.715188",36.0,32.715188,-96.768945,POINT (762265.178513075 2117607.4269846226)
63,"-96.768989,32.71967",36.0,32.71967,-96.768989,POINT (762252.8656034257 2118104.287941567)
64,"-96.769032,32.724152",36.0,32.724152,-96.769032,POINT (762240.6468276286 2118601.1505834516)
65,"-96.769075,32.728634",36.0,32.728634,-96.769075,POINT (762228.4284563779 2119098.0133687234)
66,"-96.769119,32.733116",36.0,32.733116,-96.769119,POINT (762216.1167792911 2119594.8747563004)
67,"-96.769162,32.737598",19.53543825,32.737598,-96.769162,POINT (762203.8992217168 2120091.7378375856)
68,"-96.769206,32.74208",32.137918,32.74208,-96.769206,POINT (762191.5883676632 2120588.5995274894)
69,"-96.769249,32.746562",16.3573685,32.746562,-96.769249,POINT (762179.371623563 2121085.4629169567)
70,"-96.769293,32.751044",36.0,32.751044,-96.769293,POINT (762167.0615923454 2121582.3249213574)
71,"-96.769336,32.755525",36.0,32.755525,-96.769336,POINT (762154.8474882069 2122079.077758748)
72,"-96.769379,32.760007",36.0,32.760007,-96.769379,POINT (762142.6319615359 2122575.9416331965)
73,"-96.769423,32.764489",36.0,32.764489,-96.769423,POINT (762130.323161784 2123072.804132054)
74,"-96.769466,32.768971",36.0,32.768971,-96.769466,POINT (762118.1084480904 2123569.6683450923)
75,"-96.76951,32.773452",32.01250475,32.773452,-96.76951,POINT (762105.8022971789 2124066.4203162976)
76,"-96.769553,32.777934",33.082055,32.777934,-96.769553,POINT (762093.5883962158 2124563.284880058)
77,"-96.769597,32.782415",27.0692305,32.782415,-96.769597,POINT (762081.2830673027 2125060.0372082214)
78,"-96.76964,32.786897",36.0,32.786897,-96.76964,POINT (762069.0699788731 2125556.9021348674)
79,"-96.769684,32.791379",36.0,32.791379,-96.769684,POINT (762056.7636454388 2126053.765704877)
80,"-96.769727,32.79586",36.0,32.79586,-96.769727,POINT (762044.553195663 2126550.5201338576)
81,"-96.769771,32.800341",36.0,32.800341,-96.769771,POINT (762032.2495101506 2127047.273212435)
82,"-96.769814,32.804823",36.0,32.804823,-96.769814,POINT (762020.0380461868 2127544.1389013627)
83,"-96.769858,32.809304",36.0,32.809304,-96.769858,POINT (762007.7351820767 2128040.892373396)
84,"-96.769901,32.813786",36.0,32.813786,-96.769901,POINT (761995.5245300452 2128537.758461714)
85,"-96.769945,32.818267",36.0,32.818267,-96.769945,POINT (761983.2224871356 2129034.5123393727)
86,"-96.769988,32.822748",36.0,32.822748,-96.769988,POINT (761971.0144728459 2129531.267966231)
87,"-96.770032,32.82723",36.0,32.82723,-96.770032,POINT (761958.7114249332 2130028.1331347064)
88,"-96.770075,32.831711",36.0,32.831711,-96.770075,POINT (761946.5042220866 2130524.8891852093)
89,"-96.770119,32.836192",30.041410499999998,32.836192,-96.770119,POINT (761934.2038209375 2131021.643910577)
90,"-96.770162,32.840673",27.0346615,32.840673,-96.770162,POINT (761921.9974292914 2131518.4003968453)
91,"-96.770206,32.845154",36.0,32.845154,-96.770206,POINT (761909.6978487 2132015.1555642984)
92,"-96.77025,32.849635",36.0,32.849635,-96.77025,POINT (761897.398680676 2132511.910957411)
93,"-96.770293,32.854117",36.0,32.854117,-96.770293,POINT (761885.1916821317 2133008.7789935726)
94,"-96.770337,32.858598",34.2315765,32.858598,-96.770337,POINT (761872.8933344134 2133505.5348470747)
95,"-96.77038,32.863079",34.73376725,32.863079,-96.77038,POINT (761860.6889723047 2134002.2924761125)
96,"-96.770424,32.86756",33.45254525,32.86756,-96.770424,POINT (761848.3914446445 2134499.04880213)
97,"-96.770467,32.872041",36.0,32.872041,-96.770467,POINT (761836.1878930397 2134995.806909537)
98,"-96.770511,32.876521",36.0,32.876521,-96.770511,POINT (761823.8930107051 2135492.452846616)
99,"-96.770555,32.881002",36.0,32.881002,-96.770555,POINT (761811.5967150794 2135989.20990423)
100,"-96.770598,32.885483",36.0,32.885483,-96.770598,POINT (761799.3943811734 2136485.968752014)
101,"-96.770642,32.889964",36.0,32.889964,-96.770642,POINT (761787.0989051114 2136982.726312573)
102,"-96.770685,32.894445",36.0,32.894445,-96.770685,POINT (761774.89738121 2137479.4856691533)
103,"-96.770729,32.898926",36.0,32.898926,-96.770729,POINT (761762.6027245077 2137976.2437448376)
104,"-96.770773,32.903406",36.0,32.903406,-96.770773,POINT (761750.3103049705 2138472.8912087427)
105,"-96.770816,32.907887",36.0,32.907887,-96.770816,POINT (761738.1099980234 2138969.651351357)
106,"-96.77086,32.912368",36.0,32.912368,-96.77086,POINT (761725.8165723096 2139466.4102225536)
107,"-96.770903,32.916848",36.0,32.916848,-96.770903,POINT (761713.6188999268 2139963.06003027)
108,"-96.770947,32.921329",36.0,32.921329,-96.770947,POINT (761701.3262930328 2140459.8194469707)
109,"-96.770991,32.92581",36.0,32.92581,-96.770991,POINT (761689.0340978608 2140956.5791410785)
110,"-96.771034,32.93029",36.0,32.93029,-96.771034,POINT (761676.837641549 2141453.2297803094)
111,"-96.771078,32.934771",36.0,32.934771,-96.771078,POINT (761664.5462648969 2141949.9900381863)
112,"-96.771122,32.939251",36.0,32.939251,-96.771122,POINT (761652.2571246488 2142446.6397081655)
113,"-96.771165,32.943732",36.0,32.943732,-96.771165,POINT (761640.0600591284 2142943.4020807543)
114,"-96.774091,32.692741",36.0,32.692741,-96.774091,POINT (761823.738396777 2115110.743365622)
115,"-96.774135,32.697224",36.0,32.697224,-96.774135,POINT (761811.4469717089 2115607.71516477)
116,"-96.774179,32.701706",36.0,32.701706,-96.774179,POINT (761799.1577826124 2116104.5762171787)
117,"-96.774222,32.706188",36.0,32.706188,-96.774222,POINT (761786.9627466099 2116601.438937998)
118,"-96.774266,32.71067",36.0,32.71067,-96.774266,POINT (761774.6743812623 2117098.300250078)
